# Taxonomic Profiling Output
# git tag version 2.5.1 |  motus version 2.5.1 | map_tax 2.5.1 | gene database: nr2.5.1 | calc_mgc 2.5.1 -y insert.scaled_counts -l 75 | calc_motu 2.5.1 -k mOTU -C precision -g 3 | taxonomy: ref_mOTU_2.5.1 meta_mOTU_2.5.1
# call: python /home/nlapier2/miniconda3/bin/../share/motus-2.5.1//motus profile -C precision -s challenge_high/RH_S003__insert_270.fq -o timing/results/motus2_default_RH_S003.txt -t 4

@SampleID:CAMI_HIGH_S003
@Version:0.9.3
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@TaxonomyID: Jan 08 2019
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2	superkingdom	2	Bacteria	98.92782921388081
2157	superkingdom	2157	Archaea	1.0721707861191816
1224	phylum	2|1224	Bacteria|Proteobacteria	51.12649110319018
201174	phylum	2|201174	Bacteria|Actinobacteria	23.541638894931303
1239	phylum	2|1239	Bacteria|Firmicutes	14.028148526346271
976	phylum	2|976	Bacteria|Bacteroidetes	8.069895278944852
65842	phylum	2|65842	Bacteria|Fibrobacteres	0.08651358544901058
28890	phylum	2157|28890	Archaea|Euryarchaeota	1.0739334605763202
200918	phylum	2|200918	Bacteria|Thermotogae	1.0783735684919475
74201	phylum	2|74201	Bacteria|Verrucomicrobia	0.27355615690502555
544448	phylum	2|544448	Bacteria|Tenericutes	0.2775137766690101
32066	phylum	2|32066	Bacteria|Fusobacteria	0.04868983912810441
203691	phylum	2|203691	Bacteria|Spirochaetes	0.39524580936797504
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	30.15610329461197
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	8.040884688670905
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	6.819430148837574
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	23.569279573055066
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	4.412133572824825
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	8.193860293921771
200643	class	2|976|200643	Bacteria|Bacteroidetes|Bacteroidia	0.8171628704680491
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	4.9081146971616425
909932	class	2|1239|909932	Bacteria|Firmicutes|Negativicutes	0.8149603171295249
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	5.900905642500381
117747	class	2|976|117747	Bacteria|Bacteroidetes|Sphingobacteriia	0.6678986478007826
204430	class	2|65842|204430	Bacteria|Fibrobacteres|Fibrobacteria	0.08673147497008646
29547	class	2|1224|29547	Bacteria|Proteobacteria|Epsilonproteobacteria	0.08607654009314084
1853228	class	2|976|1853228	Bacteria|Bacteroidetes|Chitinophagia	0.4501098047513963
183963	class	2157|28890|183963	Archaea|Euryarchaeota|Halobacteria	1.0766382247607875
768503	class	2|976|768503	Bacteria|Bacteroidetes|Cytophagia	1.2469337616527372
1737404	class	2|1239|1737404	Bacteria|Firmicutes|Tissierellia	0.642525054382307
188708	class	2|200918|188708	Bacteria|Thermotogae|Thermotogae	1.081089515347694
203494	class	2|74201|203494	Bacteria|Verrucomicrobia|Verrucomicrobiae	0.27424512407366197
84998	class	2|201174|84998	Bacteria|Actinobacteria|Coriobacteriia	0.03165031527959199
31969	class	2|544448|31969	Bacteria|Tenericutes|Mollicutes	0.27821271133431774
203490	class	2|32066|203490	Bacteria|Fusobacteria|Fusobacteriia	0.0488124673335339
203692	class	2|203691|203692	Bacteria|Spirochaetes|Spirochaetia	0.3962412590382605
204457	order	2|1224|28211|204457	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	8.32694548994812
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	2.939123974562002
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	6.679781325898085
206351	order	2|1224|28216|206351	Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales	0.16473411817409525
